Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2021,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Status,Any Disability,,,DISEST,RACEIND,66,RACE02,AGEADJPREV,DISSTAT,DISABL,,
2021,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,3.5,3.5,,,3.1,3.9,516,95963,Disability Type,Self-care Disability,,,DISEST,AGEIND,87,AGE02,PREV,DISTYPE,SELFDIS,,
2021,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,56.2,56.2,,,47.2,64.7,393,17420,Disability Status,No Disability,,,DISEST,AGEIND,66,AGE02,PREV,DISSTAT,NODIS,,
2021,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,19.7,19.7,,,15.3,25.1,105,11422,Disability Status,Any Disability,,,DISEST,AGEIND,66,AGE01,PREV,DISSTAT,DISABL,,
2021,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,65.1,65.1,,,62.5,67.7,1657,1092182,Disability Status,No Disability,,,DISEST,SEXIND,22,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2021,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,27.8,27.8,,,25.6,30.1,618,117348,Disability Status,Any Disability,,,DISEST,AGEIND,16,AGE02,PREV,DISSTAT,DISABL,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,20.1,20.1,,,17.5,23,348,19622,Disability Type,Hearing Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISTYPE,HEARDIS,,
2021,US,"United States, DC & Territories",BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,15.4,15.4,,,14.1,16.7,2308,683476,Disability Type,Mobility Disability,,,DISEST,RACEIND,59,RACE04,AGEADJPREV,DISTYPE,MOBDIS,,
2021,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,87,RACE02,AGEADJPREV,DISTYPE,SELFDIS,,
2021,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,9.4,9.4,,,8.4,10.5,761,98145,Disability Type,Mobility Disability,,,DISEST,VETIND,33,VET2,AGEADJPREV,DISTYPE,MOBDIS,,
